Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Olinda,BR,-8.01,-34.86,82.4,61,40,14.99,scattered clouds
213,Huilong,CN,31.81,121.66,53.01,99,100,5.64,light rain
214,Tsogni,GA,-2.79,10.1,77.86,89,99,7.05,overcast clouds
215,Viedma,AR,-40.81,-63.0,79.0,29,8,5.01,clear sky
216,Vestmanna,FO,62.16,-7.17,42.8,87,13,10.29,light rain
217,Cape Town,ZA,-33.93,18.42,64.0,51,75,13.87,broken clouds
218,Saint-Philippe,RE,-21.36,55.77,77.0,73,53,8.99,broken clouds
219,Cochrane,CA,51.18,-114.47,35.6,64,90,19.46,overcast clouds
220,Berdigestyakh,RU,62.1,126.7,-0.63,91,100,9.42,light snow
221,Narsaq,GL,60.92,-46.05,19.4,57,75,3.36,broken clouds
222,Doha,QA,25.29,51.53,73.4,56,0,8.05,clear sky
223,Stokmarknes,NO,68.56,14.91,39.2,55,75,10.29,light rain
224,Valparaiso,CL,-33.04,-71.63,75.2,41,0,13.87,clear sky
225,Manggar,ID,-2.88,108.27,78.93,80,100,4.92,overcast clouds
226,Shubarshi,KZ,48.59,57.19,20.14,90,34,8.46,scattered clouds
227,Parana,AR,-31.73,-60.52,100.99,23,19,4.0,few clouds
228,Wenling,CN,28.37,121.36,62.01,81,99,5.95,overcast clouds
229,Mokhsogollokh,RU,61.47,128.92,-0.74,92,100,6.76,light snow
230,Punalur,IN,9.0,76.93,84.2,79,40,1.12,mist
231,Kjollefjord,NO,70.95,27.35,28.4,79,0,10.29,clear sky
232,Barquisimeto,VE,10.07,-69.32,69.8,100,38,11.41,scattered clouds
233,Flin Flon,CA,54.77,-101.86,12.2,92,90,3.36,light snow
234,Poum,NC,-20.23,164.02,76.66,75,45,15.88,scattered clouds
235,Darab,IR,28.75,54.54,59.4,35,0,5.46,clear sky
236,Novyy Urengoy,RU,66.08,76.63,5.67,94,49,9.66,scattered clouds
237,Tiksi,RU,71.69,128.87,-1.12,92,100,8.01,overcast clouds
238,Chengde,CN,40.97,117.94,22.46,88,65,3.04,broken clouds
239,Kizukuri,JP,40.81,140.39,37.99,75,99,4.63,overcast clouds
240,Bathurst,AU,-33.42,149.58,53.01,91,19,3.4,few clouds
241,Lebu,CL,-37.62,-73.65,61.12,67,41,11.88,scattered clouds
242,Beloha,MG,-25.17,45.05,73.83,82,0,5.23,clear sky
243,Meulaboh,ID,4.14,96.13,78.62,84,100,3.94,overcast clouds
244,Dunedin,NZ,-45.87,170.5,51.01,87,0,3.0,clear sky
245,San Patricio,US,28.02,-97.52,81.0,69,75,24.16,broken clouds
246,Sale,MA,34.04,-6.82,64.4,88,20,4.7,few clouds
