City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Karratha,AU,79.02,few clouds,-20.74,116.85,ibis Styles Karratha
302,Santa Vitoria Do Palmar,BR,84.96,overcast clouds,-33.52,-53.37,Hostel Comodoro
303,Antalaha,MG,74.57,broken clouds,-14.9,50.28,Hotel Vitasoa
305,Yarim,YE,54.25,overcast clouds,14.3,44.38,جامع القحيزة
306,Los Llanos De Aridane,ES,75.2,clear sky,28.66,-17.92,Valle Aridane
307,Sulangan,PH,82.38,broken clouds,11.14,123.72,Maia's Beach Resort
309,Gizo,SB,82.63,light rain,-8.1,156.84,Imagination Island
310,Constitucion,CL,64.38,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
311,Havelock,US,55.0,clear sky,34.88,-76.9,Sherwood Motel
312,Kalmunai,LK,79.25,light rain,7.42,81.82,VS Villa
314,Kakonko,TZ,67.12,broken clouds,-3.28,30.96,Edward Memorial Guest House
317,Ulladulla,AU,62.01,overcast clouds,-35.35,150.47,Sandpiper Motel
319,Lorengau,PG,82.31,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
321,Tamiahua,MX,76.68,clear sky,21.27,-97.45,Mission Of The Sun Hotel
322,Carolina,PR,87.8,scattered clouds,18.38,-65.96,Motel Fantasy Star
324,Sabha,LY,55.65,few clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
325,Chenghai,CN,71.6,broken clouds,23.46,116.77,Guangdong Hotel
326,Bahawalpur,PK,62.89,overcast clouds,29.4,71.68,5th Avenue Hotel
329,Inirida,CO,82.17,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
332,Jacksonville,US,73.99,scattered clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
334,Sao Joao Da Barra,BR,77.0,light rain,-21.64,-41.05,Pousada Porto De Canoas
339,Sinnamary,GF,82.76,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
340,Atambua,ID,76.12,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
341,Saint-Pierre,RE,77.0,broken clouds,-21.34,55.48,Lindsey Hôtel
342,Pathein,MM,74.35,few clouds,16.78,94.73,Pathein Hotel
343,Oyama,JP,54.0,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
344,Port Keats,AU,85.14,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
345,Denpasar,ID,80.6,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
347,Ahipara,NZ,64.87,light rain,-35.17,173.17,Ahipara Holiday Park
348,Margate,GB,50.0,overcast clouds,51.38,1.39,Premier Inn Margate hotel
352,Blyth,GB,51.8,overcast clouds,55.13,-1.51,Luxury Caravan with Sea Views close to Beach
353,Davila,PH,78.31,clear sky,18.47,120.58,SITIO 3 DAVILA PASUQUIN
354,Rio Grande,BR,87.8,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
356,Rawson,AR,68.41,clear sky,-43.3,-65.1,Hotel Punta León
358,Macenta,GN,88.86,scattered clouds,8.54,-9.47,Hôtel Safrik
366,Lexington,US,50.0,few clouds,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
