City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
288,Yanam,IN,2020-11-20 01:10:33,16.73,82.22,75.2,78,99,8.05
289,Quatre Cocos,MU,2020-11-20 01:12:55,-20.21,57.76,71.01,88,75,9.6
290,Ouargaye,BF,2020-11-20 01:15:31,11.5,0.06,73.92,26,49,8.68
291,Mahina,PF,2020-11-20 01:15:31,-17.51,-149.49,84.2,70,75,10.29
292,Palana,RU,2020-11-20 01:15:31,59.12,159.97,17.89,93,100,13.6
293,Brae,GB,2020-11-20 01:15:31,60.4,-1.35,35.6,74,81,5.82
294,Mar Del Plata,AR,2020-11-20 01:15:00,-38.0,-57.56,61.0,87,0,4.7
295,Macherla,IN,2020-11-20 01:15:32,16.48,79.43,69.98,89,99,4.05
296,Fukue,JP,2020-11-20 01:15:32,32.69,128.84,60.8,77,75,10.29
297,Beyneu,KZ,2020-11-20 01:15:32,45.32,55.2,20.46,77,0,7.94
298,Chyhyryn,UA,2020-11-20 01:15:32,49.08,32.66,29.16,97,0,9.17
299,Sao Jose Da Coroa Grande,BR,2020-11-20 01:15:32,-8.9,-35.15,78.17,82,93,10.42
300,Erenhot,CN,2020-11-20 01:15:33,43.65,111.98,21.72,87,0,8.25
301,Peniche,PT,2020-11-20 01:15:33,39.36,-9.38,60.01,86,0,5.01
302,Kungurtug,RU,2020-11-20 01:15:33,50.6,97.52,-4.81,87,99,0.65
303,Ijui,BR,2020-11-20 01:15:33,-28.39,-53.91,67.95,56,86,5.14
304,Kangaba,ML,2020-11-20 01:15:33,11.93,-8.42,72.41,33,99,3.04
